[NN] ||| transplantation ||| transplant ||| 0-0 ||| 0.6666666666666666 ||| OtherRelated
[JJ] ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/spanish.pdf> ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/french.pdf> ||| 0-0 ||| 0.9827586206896551 ||| Equivalence
[JJ] ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/spanish.pdf> ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/russian.pdf> ||| 0-0 ||| 1.0 ||| Equivalence
[JJ] ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/russian.pdf> ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/spanish.pdf> ||| 0-0 ||| 1.0 ||| Equivalence
[JJ] ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/english.pdf> ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/arabic.pdf> ||| 0-0 ||| 0.9827586206896551 ||| Equivalence
[JJ] ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/chinese.pdf> ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/english.pdf> ||| 0-0 ||| 1.0 ||| Equivalence
[JJ] ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/spanish.pdf> ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/chinese.pdf> ||| 0-0 ||| 1.0 ||| Equivalence
[JJ] ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/chinese.pdf> ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/spanish.pdf> ||| 0-0 ||| 1.0 ||| Equivalence
[JJ] ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/english.pdf> ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/chinese.pdf> ||| 0-0 ||| 1.0 ||| Equivalence
[JJ] ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/spanish.pdf> ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/arabic.pdf> ||| 0-0 ||| 0.9827586206896551 ||| Equivalence
[JJ] ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/russian.pdf> ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/english.pdf> ||| 0-0 ||| 1.0 ||| Equivalence
[JJ] ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/english.pdf> ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/russian.pdf> ||| 0-0 ||| 1.0 ||| Equivalence
[JJ] ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/english.pdf> ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/arabic.pdf> ||| 0-0 ||| 0.9827586206896551 ||| Equivalence
[JJ] ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/spanish.pdf> ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/arabic.pdf> ||| 0-0 ||| 0.9827586206896551 ||| Equivalence
[JJ] ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/spanish.pdf> ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/english.pdf> ||| 0-0 ||| 1.0 ||| Equivalence
[JJ] ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/english.pdf> ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/spanish.pdf> ||| 0-0 ||| 1.0 ||| Equivalence
[JJ] ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/arabic.pdf> ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/french.pdf> ||| 0-0 ||| 1.0 ||| Equivalence
[JJ] ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/french.pdf> ||| <www.un.org/depts/dgacm/docs/crp/aconf212crp1/arabic.pdf> ||| 0-0 ||| 1.0 ||| Equivalence
[JJ] ||| not-for-profit ||| non-profit ||| 0-0 ||| 0.7142857142857143 ||| Equivalence
[JJ] ||| mediaeval ||| medieval ||| 0-0 ||| 0.8888888888888888 ||| Equivalence
[JJ] ||| muslims ||| muslim ||| 0-0 ||| 0.8571428571428571 ||| Equivalence
[JJ] ||| school-aged ||| school-age ||| 0-0 ||| 0.9090909090909091 ||| Equivalence
[NN] ||| modelling ||| modeling ||| 0-0 ||| 0.8888888888888888 ||| Equivalence
[NN] ||| modelling ||| modeling ||| 0-0 ||| 0.8888888888888888 ||| Equivalence
[JJ] ||| ugandan ||| uganda ||| 0-0 ||| 0.8571428571428571 ||| Equivalence
[JJ] ||| south-eastern ||| south-east ||| 0-0 ||| 0.7692307692307693 ||| Equivalence
[JJ] ||| tutsis ||| tutsi ||| 0-0 ||| 0.8333333333333334 ||| Equivalence
[JJ] ||| medium-sized ||| medium-size ||| 0-0 ||| 0.9166666666666666 ||| Equivalence
[JJ] ||| tutsis ||| tutsi ||| 0-0 ||| 0.8333333333333334 ||| Equivalence
[JJ] ||| high-tech ||| hi-tech ||| 0-0 ||| 0.7777777777777778 ||| Equivalence
[JJ] ||| school-aged ||| school-age ||| 0-0 ||| 0.9090909090909091 ||| Equivalence
[JJ] ||| short-term ||| short-stay ||| 0-0 ||| 1.0 ||| OtherRelated
[JJ] ||| contemptible ||| despicable ||| 0-0 ||| 0.8333333333333334 ||| OtherRelated
[NNS] ||| thousands ||| hundreds ||| 0-0 ||| 0.8888888888888888 ||| Independent
[NNS] ||| thousands ||| hundreds ||| 0-0 ||| 0.8888888888888888 ||| Independent
[NNS] ||| thousands ||| hundred ||| 0-0 ||| 0.7777777777777778 ||| Independent
[NNS] ||| thousands ||| hundred ||| 0-0 ||| 0.7777777777777778 ||| Independent
[NNS] ||| thousand ||| hundreds ||| 0-0 ||| 1.0 ||| Independent
[NNS] ||| hundreds ||| thousand ||| 0-0 ||| 1.0 ||| Independent
[NN] ||| limitations ||| restriction ||| 0-0 ||| 1.0 ||| Equivalence
[NN] ||| restriction ||| limitation ||| 0-0 ||| 0.9090909090909091 ||| Equivalence
[NN] ||| co-chairman ||| co-chair ||| 0-0 ||| 0.7272727272727273 ||| Equivalence
[JJ] ||| north-western ||| north-west ||| 0-0 ||| 0.7692307692307693 ||| Equivalence
[JJ] ||| north-eastern ||| north-east ||| 0-0 ||| 0.7692307692307693 ||| Equivalence
[JJ] ||| center-right ||| centre-right ||| 0-0 ||| 1.0 ||| Equivalence
[NN] ||| co-chairman ||| co-chair ||| 0-0 ||| 0.7272727272727273 ||| Equivalence
[JJ] ||| not-for-profit ||| non-profit ||| 0-0 ||| 0.7142857142857143 ||| Equivalence
[JJ] ||| decentralized ||| decentralised ||| 0-0 ||| 1.0 ||| Equivalence
[NN] ||| legalization ||| legalisation ||| 0-0 ||| 1.0 ||| Equivalence
[JJ] ||| south-eastern ||| south-east ||| 0-0 ||| 0.7692307692307693 ||| Equivalence
[JJ] ||| israeli-palestinian ||| israel-palestinian ||| 0-0 ||| 0.9473684210526315 ||| Equivalence
[NNS] ||| handles ||| handled ||| 0-0 ||| 1.0 ||| Equivalence
[VB] ||| ill-treatment ||| mistreatment ||| 0-0 ||| 0.9230769230769231 ||| Equivalence
[JJ] ||| single-hulled ||| single-hull ||| 0-0 ||| 0.8461538461538461 ||| Equivalence
[JJ] ||| centre-right ||| center-right ||| 0-0 ||| 1.0 ||| Equivalence
[NN] ||| decentralization ||| decentralisation ||| 0-0 ||| 1.0 ||| Equivalence
[JJ] ||| co-chairman ||| co-chair ||| 0-0 ||| 0.7272727272727273 ||| Equivalence
[JJ] ||| square ||| sq ||| 0-0 ||| 0.3333333333333333 ||| OtherRelated
[NNS] ||| auditing ||| audits ||| 0-0 ||| 0.75 ||| Equivalence
[JJ] ||| single-hulled ||| single-hull ||| 0-0 ||| 0.8461538461538461 ||| Equivalence
[JJ] ||| well-balanced ||| balanced ||| 0-0 ||| 0.6153846153846154 ||| Equivalence
[JJ] ||| marginalized ||| marginalised ||| 0-0 ||| 1.0 ||| Equivalence
[NNS] ||| guarantees ||| guaranteed ||| 0-0 ||| 1.0 ||| Equivalence
[NN] ||| ageing ||| aging ||| 0-0 ||| 0.8333333333333334 ||| Equivalence
[JJ] ||| not-too-distant ||| not-so-distant ||| 0-0 ||| 0.9333333333333333 ||| Equivalence
[JJ] ||| weapons-grade ||| weapon-grade ||| 0-0 ||| 0.9230769230769231 ||| Equivalence
[JJ] ||| extracurricular ||| out-of-school ||| 0-0 ||| 0.8666666666666667 ||| OtherRelated
[JJ] ||| full-sized ||| full-size ||| 0-0 ||| 0.9 ||| OtherRelated
[JJ] ||| not-too-distant ||| not-so-distant ||| 0-0 ||| 0.9333333333333333 ||| Equivalence
[CD] ||| eighty ||| 80 ||| 0-0 ||| 0.3333333333333333 ||| Equivalence
[JJ] ||| three-wheeled ||| three-wheel ||| 0-0 ||| 0.8461538461538461 ||| Equivalence
[VB] ||| resolving ||| solving ||| 0-0 ||| 0.7777777777777778 ||| Equivalence
[VB] ||| resolving ||| solve ||| 0-0 ||| 0.5555555555555556 ||| Equivalence
[VB] ||| resolve ||| solve ||| 0-0 ||| 0.7142857142857143 ||| Equivalence
[VB] ||| resolve ||| solving ||| 0-0 ||| 1.0 ||| Equivalence
[NNS] ||| millions ||| billions ||| 0-0 ||| 1.0 ||| Equivalence
[NNS] ||| billions ||| millions ||| 0-0 ||| 1.0 ||| Equivalence
[NNS] ||| beginnings ||| begins ||| 0-0 ||| 0.6 ||| ForwardEntailment
[JJ] ||| geometrical ||| geometric ||| 0-0 ||| 0.8181818181818182 ||| Equivalence
[VB] ||| resolving ||| solving ||| 0-0 ||| 0.7777777777777778 ||| Equivalence
[VB] ||| resolving ||| solve ||| 0-0 ||| 0.5555555555555556 ||| Equivalence
[VB] ||| resolve ||| solve ||| 0-0 ||| 0.7142857142857143 ||| Equivalence
[VB] ||| solving ||| resolve ||| 0-0 ||| 1.0 ||| Equivalence
[NN] ||| fertilization ||| fertilisation ||| 0-0 ||| 1.0 ||| Equivalence
[JJ] ||| north-eastern ||| north-east ||| 0-0 ||| 0.7692307692307693 ||| Equivalence
[NN] ||| industrialization ||| industrialisation ||| 0-0 ||| 1.0 ||| Equivalence
[NNS] ||| suspected ||| suspects ||| 0-0 ||| 0.8888888888888888 ||| OtherRelated
[NNS] ||| auditing ||| audits ||| 0-0 ||| 0.75 ||| Equivalence
[VB] ||| ill-treatment ||| mistreatment ||| 0-0 ||| 0.9230769230769231 ||| Equivalence
[JJ] ||| social-cultural ||| socio-cultural ||| 0-0 ||| 0.9333333333333333 ||| Equivalence
[NNS] ||| targeting ||| targets ||| 0-0 ||| 0.7777777777777778 ||| Equivalence
[JJ] ||| geographical ||| geographic ||| 0-0 ||| 0.8333333333333334 ||| Equivalence
[JJ] ||| high-tech ||| hi-tech ||| 0-0 ||| 0.7777777777777778 ||| Equivalence
[JJ] ||| high-technology ||| high-tech ||| 0-0 ||| 0.6 ||| OtherRelated
[NN] ||| communications ||| communication ||| 0-0 ||| 0.9285714285714286 ||| OtherRelated
[JJ] ||| judaeo-christian ||| judeo-christian ||| 0-0 ||| 0.9375 ||| Equivalence
[JJ] ||| israeli-palestinian ||| israel-palestine ||| 0-0 ||| 0.8421052631578947 ||| Equivalence
[NN] ||| jewellery ||| jewelry ||| 0-0 ||| 0.7777777777777778 ||| Equivalence
[JJ] ||| austrian-hungarian ||| austro-hungarian ||| 0-0 ||| 0.8888888888888888 ||| Equivalence
[JJ] ||| logistical ||| logistic ||| 0-0 ||| 0.8 ||| Equivalence
[JJ] ||| non-governmental ||| non-government ||| 0-0 ||| 0.875 ||| Equivalence
[JJ] ||| homogeneous ||| homogenous ||| 0-0 ||| 0.9090909090909091 ||| Equivalence
[JJ] ||| lower-income ||| low-income ||| 0-0 ||| 0.8333333333333334 ||| Equivalence
[JJ] ||| muslims ||| muslim ||| 0-0 ||| 0.8571428571428571 ||| Equivalence
[NN] ||| humankind ||| mankind ||| 0-0 ||| 0.7777777777777778 ||| Equivalence
[NN] ||| self-government ||| self-governance ||| 0-0 ||| 1.0 ||| Equivalence
[NN] ||| liberalization ||| liberalisation ||| 0-0 ||| 1.0 ||| Equivalence
[RB] ||| conflicts ||| conflict ||| 0-0 ||| 0.8888888888888888 ||| OtherRelated
[RB] ||| conflicts ||| conflict ||| 0-0 ||| 0.8888888888888888 ||| OtherRelated
[NN] ||| democratization ||| democratisation ||| 0-0 ||| 1.0 ||| Equivalence
[NNS] ||| tested ||| tests ||| 0-0 ||| 0.8333333333333334 ||| OtherRelated
[VBD] ||| acceptance ||| accepted ||| 0-0 ||| 0.8 ||| ForwardEntailment
[NNS] ||| guaranteed ||| guarantees ||| 0-0 ||| 1.0 ||| Equivalence
[JJ] ||| centralized ||| centralised ||| 0-0 ||| 1.0 ||| Equivalence
[JJ] ||| cross-disciplinary ||| interdisciplinary ||| 0-0 ||| 0.9444444444444444 ||| Equivalence
[NNS] ||| trillions ||| billions ||| 0-0 ||| 0.8888888888888888 ||| Equivalence
[NNS] ||| trillions ||| billions ||| 0-0 ||| 0.8888888888888888 ||| Equivalence
[NN] ||| phosphorous ||| phosphorus ||| 0-0 ||| 0.9090909090909091 ||| Equivalence
[CD] ||| millions ||| billion ||| 0-0 ||| 0.875 ||| Equivalence
[CD] ||| billions ||| million ||| 0-0 ||| 0.875 ||| Equivalence
[CD] ||| million ||| billion ||| 0-0 ||| 1.0 ||| Equivalence
[JJ] ||| austrian-hungarian ||| austro-hungarian ||| 0-0 ||| 0.8888888888888888 ||| Equivalence
[NNS] ||| thousands ||| millions ||| 0-0 ||| 0.8888888888888888 ||| Independent
[NNS] ||| thousands ||| millions ||| 0-0 ||| 0.8888888888888888 ||| Independent
[NNS] ||| thousand ||| millions ||| 0-0 ||| 1.0 ||| Independent
[NNS] ||| millions ||| thousand ||| 0-0 ||| 1.0 ||| Independent
[VBD] ||| retirement ||| retired ||| 0-0 ||| 0.7 ||| OtherRelated
[NNS] ||| handled ||| handles ||| 0-0 ||| 1.0 ||| Equivalence
[NNS] ||| suspected ||| suspects ||| 0-0 ||| 0.8888888888888888 ||| OtherRelated
[JJ] ||| unenforceable ||| inapplicable ||| 0-0 ||| 0.9230769230769231 ||| OtherRelated
[JJ] ||| north-western ||| north-west ||| 0-0 ||| 0.7692307692307693 ||| Equivalence
[JJ] ||| full-sized ||| full-size ||| 0-0 ||| 0.9 ||| OtherRelated
[NN] ||| launching ||| launch ||| 0-0 ||| 0.6666666666666666 ||| Equivalence
[JJ] ||| pluralistic ||| pluralist ||| 0-0 ||| 0.8181818181818182 ||| Equivalence
[NN] ||| ill-treatment ||| mistreatment ||| 0-0 ||| 0.9230769230769231 ||| Equivalence
[NNS] ||| banning ||| bans ||| 0-0 ||| 0.5714285714285714 ||| Equivalence
[JJ] ||| organised ||| organized ||| 0-0 ||| 1.0 ||| Equivalence
[NNS] ||| cropping ||| crops ||| 0-0 ||| 0.625 ||| ForwardEntailment
[JJ] ||| three-wheeled ||| three-wheel ||| 0-0 ||| 0.8461538461538461 ||| Equivalence
[JJ] ||| increasing ||| increased ||| 0-0 ||| 0.9 ||| OtherRelated
[RB] ||| closely ||| close ||| 0-0 ||| 0.7142857142857143 ||| Independent
[UH] ||| t-shirts ||| shirts ||| 0-0 ||| 0.75 ||| ForwardEntailment
[NNS] ||| beginnings ||| begins ||| 0-0 ||| 0.6 ||| ReverseEntailment
[JJ] ||| judaeo-christian ||| judeo-christian ||| 0-0 ||| 0.9375 ||| Equivalence
[JJ] ||| geographical ||| geographic ||| 0-0 ||| 0.8333333333333334 ||| Equivalence
[JJ] ||| vice-chairman ||| vice-chair ||| 0-0 ||| 0.7692307692307693 ||| OtherRelated
[NN] ||| jewellery ||| jewelry ||| 0-0 ||| 0.7777777777777778 ||| Equivalence
[JJ] ||| marginalised ||| marginalized ||| 0-0 ||| 1.0 ||| Equivalence
[JJ] ||| homogeneous ||| homogenous ||| 0-0 ||| 0.9090909090909091 ||| Equivalence
[JJ] ||| ever-increasing ||| ever-growing ||| 0-0 ||| 0.8 ||| Equivalence
[JJ] ||| political-military ||| politico-military ||| 0-0 ||| 0.9444444444444444 ||| Equivalence
[JJ] ||| industrialized ||| industrialised ||| 0-0 ||| 1.0 ||| Equivalence
[NN] ||| anaesthesia ||| anesthesia ||| 0-0 ||| 0.9090909090909091 ||| Equivalence
[NN] ||| liberalisation ||| liberalization ||| 0-0 ||| 1.0 ||| Equivalence
[JJ] ||| rules-based ||| rule-based ||| 0-0 ||| 0.9090909090909091 ||| Equivalence
[NNS] ||| offerings ||| offers ||| 0-0 ||| 0.6666666666666666 ||| ForwardEntailment
[JJ] ||| fiber-optic ||| fibre-optic ||| 0-0 ||| 1.0 ||| Equivalence
[JJ] ||| nongovernmental ||| non-government ||| 0-0 ||| 0.9333333333333333 ||| Equivalence
[NNS] ||| banning ||| bans ||| 0-0 ||| 0.5714285714285714 ||| Equivalence
[JJ] ||| privatized ||| privatised ||| 0-0 ||| 1.0 ||| Equivalence
[JJ] ||| co-chairman ||| co-chair ||| 0-0 ||| 0.7272727272727273 ||| Equivalence
[JJ] ||| south-western ||| south-west ||| 0-0 ||| 0.7692307692307693 ||| Equivalence
[NNS] ||| fighting ||| fights ||| 0-0 ||| 0.75 ||| Equivalence
[NNS] ||| fightings ||| fights ||| 0-0 ||| 0.6666666666666666 ||| Equivalence
[NNS] ||| fightings ||| fight ||| 0-0 ||| 0.5555555555555556 ||| Equivalence
[JJ] ||| northern ||| north ||| 0-0 ||| 0.625 ||| Equivalence
[JJ] ||| civilized ||| civilised ||| 0-0 ||| 1.0 ||| Equivalence
[CD] ||| millions ||| billion ||| 0-0 ||| 0.875 ||| Equivalence
[CD] ||| billions ||| million ||| 0-0 ||| 0.875 ||| Equivalence
[CD] ||| billion ||| million ||| 0-0 ||| 1.0 ||| Equivalence
[NNS] ||| cropping ||| crops ||| 0-0 ||| 0.625 ||| ReverseEntailment
[NN] ||| partitioning ||| partition ||| 0-0 ||| 0.75 ||| Equivalence
[RB] ||| economically ||| financially ||| 0-0 ||| 0.9166666666666666 ||| OtherRelated
[NN] ||| colonization ||| colonisation ||| 0-0 ||| 1.0 ||| Equivalence
[JJ] ||| rules-based ||| rule-based ||| 0-0 ||| 0.9090909090909091 ||| Equivalence
[CD] ||| seventy ||| 70s ||| 0-0 ||| 0.42857142857142855 ||| Equivalence
[CD] ||| seventy ||| 70 ||| 0-0 ||| 0.2857142857142857 ||| Equivalence
[JJ] ||| civilian-military ||| civil-military ||| 0-0 ||| 0.8235294117647058 ||| Equivalence
[NNS] ||| reviewed ||| reviews ||| 0-0 ||| 0.875 ||| Equivalence
[NN] ||| judgement ||| judgment ||| 0-0 ||| 0.8888888888888888 ||| Equivalence
[NN] ||| standardization ||| standardisation ||| 0-0 ||| 1.0 ||| Equivalence
[JJ] ||| civilian-military ||| civil-military ||| 0-0 ||| 0.8235294117647058 ||| Equivalence
[JJ] ||| belarussian ||| belarusian ||| 0-0 ||| 0.9090909090909091 ||| Equivalence
[VB] ||| harmonise ||| harmonize ||| 0-0 ||| 1.0 ||| Equivalence
[VB] ||| harmonized ||| harmonise ||| 0-0 ||| 0.9 ||| Equivalence
[NN] ||| auditing ||| audits ||| 0-0 ||| 0.75 ||| Equivalence
[NN] ||| auditing ||| audit ||| 0-0 ||| 0.625 ||| Equivalence
[VBZ] ||| consultations ||| consulting ||| 0-0 ||| 0.7692307692307693 ||| OtherRelated
[VBZ] ||| consultations ||| consults ||| 0-0 ||| 0.6153846153846154 ||| OtherRelated
[JJ] ||| political-military ||| politico-military ||| 0-0 ||| 0.9444444444444444 ||| Equivalence
[NN] ||| decentralisation ||| decentralization ||| 0-0 ||| 1.0 ||| Equivalence
[RB] ||| resources ||| resource ||| 0-0 ||| 0.8888888888888888 ||| Equivalence
[RB] ||| forwards ||| forward ||| 0-0 ||| 0.875 ||| Equivalence
[JJ] ||| cost-effective ||| cost-efficient ||| 0-0 ||| 1.0 ||| Equivalence
[NNS] ||| nos ||| not ||| 0-0 ||| 1.0 ||| Independent
[NNS] ||| noes ||| not ||| 0-0 ||| 0.75 ||| Independent
[VBG] ||| adjustment ||| adjusting ||| 0-0 ||| 0.9 ||| OtherRelated
[RB] ||| intentionally ||| deliberately ||| 0-0 ||| 0.9230769230769231 ||| Equivalence
[JJ] ||| organized ||| organised ||| 0-0 ||| 1.0 ||| Equivalence
[JJ] ||| one-stop-shop ||| one-stop ||| 0-0 ||| 0.6153846153846154 ||| OtherRelated
[JJ] ||| environmentally-friendly ||| environment-friendly ||| 0-0 ||| 0.8333333333333334 ||| Equivalence
[JJ] ||| anti-american ||| anti-us ||| 0-0 ||| 0.5384615384615384 ||| Equivalence
[NN] ||| specialization ||| specialisation ||| 0-0 ||| 1.0 ||| Equivalence
[JJ] ||| civilised ||| civilized ||| 0-0 ||| 1.0 ||| Equivalence
[VBZ] ||| limitations ||| limits ||| 0-0 ||| 0.5454545454545454 ||| ReverseEntailment
[VBZ] ||| limitations ||| limites ||| 0-0 ||| 0.6363636363636364 ||| ReverseEntailment
[NN] ||| nationalization ||| nationalisation ||| 0-0 ||| 1.0 ||| Equivalence
[JJ] ||| centre-left ||| center-left ||| 0-0 ||| 1.0 ||| Equivalence
[UH] ||| footnotes ||| notes ||| 0-0 ||| 0.5555555555555556 ||| OtherRelated
[JJ] ||| center-left ||| centre-left ||| 0-0 ||| 1.0 ||| Equivalence
[NN] ||| ill-treatment ||| mistreatment ||| 0-0 ||| 0.9230769230769231 ||| Equivalence
[JJ] ||| topographical ||| topographic ||| 0-0 ||| 0.8461538461538461 ||| Equivalence
[VBZ] ||| telephones ||| phones ||| 0-0 ||| 0.6 ||| Equivalence
[JJ] ||| vice-chairman ||| vice-chair ||| 0-0 ||| 0.7692307692307693 ||| OtherRelated
[JJ] ||| archaeological ||| archeological ||| 0-0 ||| 0.9285714285714286 ||| Equivalence
[VBZ] ||| consultation ||| consulting ||| 0-0 ||| 0.8333333333333334 ||| OtherRelated
[VBZ] ||| consultation ||| consults ||| 0-0 ||| 0.6666666666666666 ||| OtherRelated
[NN] ||| polarization ||| polarisation ||| 0-0 ||| 1.0 ||| Equivalence
[JJ] ||| mediaeval ||| medieval ||| 0-0 ||| 0.8888888888888888 ||| Equivalence
[NN] ||| ageing ||| aging ||| 0-0 ||| 0.8333333333333334 ||| Equivalence
[NN] ||| diarrhoea ||| diarrhea ||| 0-0 ||| 0.8888888888888888 ||| Equivalence
[NNS] ||| tested ||| tests ||| 0-0 ||| 0.8333333333333334 ||| OtherRelated
[VBN] ||| acceptance ||| accepted ||| 0-0 ||| 0.8 ||| ForwardEntailment
[NN] ||| ill-treatment ||| maltreatment ||| 0-0 ||| 0.9230769230769231 ||| Equivalence
[JJ] ||| ageing ||| aging ||| 0-0 ||| 0.8333333333333334 ||| Equivalence
[NN] ||| counselling ||| counseling ||| 0-0 ||| 0.9090909090909091 ||| Equivalence
[VB] ||| contravened ||| violate ||| 0-0 ||| 0.6363636363636364 ||| Equivalence
[VB] ||| contravene ||| violate ||| 0-0 ||| 0.7 ||| Equivalence
[VBP] ||| fulfill ||| fulfil ||| 0-0 ||| 0.8571428571428571 ||| Equivalence
[UH] ||| footnotes ||| notes ||| 0-0 ||| 0.5555555555555556 ||| OtherRelated
[VB] ||| ill-treatment ||| maltreatment ||| 0-0 ||| 0.9230769230769231 ||| Equivalence
[NNS] ||| thousands ||| billions ||| 0-0 ||| 0.8888888888888888 ||| Independent
[NNS] ||| thousands ||| billions ||| 0-0 ||| 0.8888888888888888 ||| Independent
[NNS] ||| billions ||| thousand ||| 0-0 ||| 1.0 ||| Independent
[NNS] ||| thousand ||| billions ||| 0-0 ||| 1.0 ||| Independent
[NNS] ||| launchings ||| launch ||| 0-0 ||| 0.6 ||| Equivalence
[NNS] ||| launchings ||| launches ||| 0-0 ||| 0.8 ||| Equivalence
[JJ] ||| northern ||| north ||| 0-0 ||| 0.625 ||| Equivalence
[NN] ||| diarrhoea ||| diarrhea ||| 0-0 ||| 0.8888888888888888 ||| Equivalence
[JJ] ||| double-edged ||| two-edged ||| 0-0 ||| 0.75 ||| Equivalence
[JJ] ||| environmentally-friendly ||| eco-friendly ||| 0-0 ||| 0.5 ||| Equivalence
[VBZ] ||| telephones ||| phones ||| 0-0 ||| 0.6 ||| Equivalence
[NN] ||| modernisation ||| modernization ||| 0-0 ||| 1.0 ||| Equivalence
[NNS] ||| targeting ||| targets ||| 0-0 ||| 0.7777777777777778 ||| Equivalence
[VBD] ||| incitement ||| incited ||| 0-0 ||| 0.7 ||| OtherRelated
[NN] ||| privatization ||| privatisation ||| 0-0 ||| 1.0 ||| Equivalence
[JJ] ||| above-mentioned ||| aforementioned ||| 0-0 ||| 0.9333333333333333 ||| Equivalence
[RB] ||| proportionately ||| proportionally ||| 0-0 ||| 0.9333333333333333 ||| Equivalence
