[NN] | transplantation | transplant | 0-0 | 0.6666666666666666 | OtherRelated
[CD] | twenty-three | 23 | 0-0 |0.1666666666666666| Equivalence
[VBN] | called | l | 0-0 |0.1666666666666666| Independent
[JJ] | twenty-three | 23 | 0-0 |0.1666666666666666| Equivalence
[NN] | twenty-three | 23 | 0-0 |0.1666666666666666| Equivalence
[JJ] | seventy-nine | 79 | 0-0 |0.1666666666666666| Equivalence
[VBZ] | annuls | l | 0-0 |0.1666666666666666| Independent
[CD] | thirty-three | 33 | 0-0 |0.1666666666666666| Equivalence
[JJ] | thirty-eight | 38 | 0-0 |0.1666666666666666| OtherRelated
[CD] | seventy-four | 74 | 0-0 |0.1666666666666666| OtherRelated
[JJ] | ninety-eight | 98 | 0-0 |0.1666666666666666| OtherRelated
[NN] | tuberculosis | tb | 0-0 |0.1666666666666666| Equivalence
[NN] | thirty-seven | 37 | 0-0 |0.1666666666666666| OtherRelated
[NN] | telecommunications | tel | 0-0 |0.1666666666666666| Independent
[CD] | ninety-three | 93 | 0-0 |0.1666666666666666| OtherRelated
[JJ] | ninety-seven | 97 | 0-0 |0.1666666666666666| OtherRelated
[JJ] | sixty-seven | 67 | 0-0 |0.1818181818181818| OtherRelated
[CD] | thirty-five | 35 | 0-0 |0.1818181818181818| OtherRelated
[JJ] | fifty-three | 53 | 0-0 |0.1818181818181818| Equivalence
[CD] | thirty-nine | 39 | 0-0 |0.1818181818181818| Equivalence
[CD] | twenty-nine | 29 | 0-0 |0.1818181818181818| Independent
[NN] | fifty-seven | 57 | 0-0 |0.1818181818181818| OtherRelated
[JJ] | ninety-four | 94 | 0-0 |0.1818181818181818| Equivalence
[NN] | thirty-five | 35 | 0-0 |0.1818181818181818| OtherRelated
[JJ] | forty-eight | 48 | 0-0 |0.1818181818181818| OtherRelated
[VBD] | represented | es | 0-0 |0.1818181818181818| Independent
[JJ] | ultraviolet | uv | 0-0 |0.1818181818181818| Equivalence
[CD] | twenty-five | 25 | 0-0 |0.1818181818181818| OtherRelated
[JJ] | fifty-eight | 58 | 0-0 |0.1818181818181818| Equivalence
[JJ] | thirty-five | 35 | 0-0 |0.1818181818181818| OtherRelated
[NN] | twenty-five | 25 | 0-0 |0.1818181818181818| OtherRelated
[JJ] | twenty-four | 24 | 0-0 |0.1818181818181818| Equivalence
[VBD] | ascertained | in | 0-0 |0.1818181818181818| OtherRelated
[NN] | ninety-five | 95 | 0-0 |0.1818181818181818| OtherRelated
[JJ] | ninety-five | 95 | 0-0 |0.1818181818181818| OtherRelated
[NN] | seventy-six | 76 | 0-0 |0.1818181818181818| Equivalence
[JJ] | sixty-three | 63 | 0-0 |0.1818181818181818| OtherRelated
[NN] | twenty-four | 24 | 0-0 |0.1818181818181818| Equivalence
[CD] | ninety-nine | 99 | 0-0 |0.1818181818181818| Equivalence
[NN] | sixty-three | 63 | 0-0 |0.1818181818181818| OtherRelated
[JJ] | eighty-four | 84 | 0-0 |0.1818181818181818| OtherRelated
[CD] | sixty-three | 63 | 0-0 |0.1818181818181818| OtherRelated
[NN] | forty-three | 43 | 0-0 |0.1818181818181818| Equivalence
[NN] | contractors | co | 0-0 |0.1818181818181818| Independent
[NN] | ultraviolet | uv | 0-0 |0.1818181818181818| Equivalence
[NN] | thirty-nine | 39 | 0-0 |0.1818181818181818| Equivalence
[JJ] | twenty-nine | 29 | 0-0 |0.1818181818181818| Independent
[NN] | sixty-eight | 68 | 0-0 |0.1818181818181818| Equivalence
[JJ] | seventy-one | 71 | 0-0 |0.1818181818181818| Independent
[NNS] | millimeters | mm | 0-0 |0.1818181818181818| Equivalence
[CD] | seventy-two | 72 | 0-0 |0.1818181818181818| OtherRelated
[NN] | eighty-five | 85 | 0-0 |0.1818181818181818| OtherRelated
[JJ] | seventy-six | 76 | 0-0 |0.1818181818181818| Equivalence
[NN] | forty-eight | 48 | 0-0 |0.1818181818181818| OtherRelated
[JJ] | seventy-two | 72 | 0-0 |0.1818181818181818| OtherRelated
[CD] | sixty-eight | 68 | 0-0 |0.1818181818181818| Equivalence
[NN] | forty-seven | 47 | 0-0 |0.1818181818181818| OtherRelated
[JJ] | eighty-nine | 89 | 0-0 |0.1818181818181818| OtherRelated
[CD] | fifty-eight | 58 | 0-0 |0.1818181818181818| Equivalence
[JJ] | sixty-eight | 68 | 0-0 |0.1818181818181818| Equivalence
[CD] | eighty-five | 85 | 0-0 |0.1818181818181818| OtherRelated
[CD] | forty-eight | 48 | 0-0 |0.1818181818181818| OtherRelated
[CD] | fifty-seven | 57 | 0-0 |0.1818181818181818| OtherRelated
[CD] | forty-seven | 47 | 0-0 |0.1818181818181818| OtherRelated
[JJ] | thirty-four | 34 | 0-0 |0.1818181818181818| Equivalence
[VBP] | participate | am | 0-0 |0.1818181818181818| Independent
[JJ] | ninety-nine | 99 | 0-0 |0.1818181818181818| Equivalence
[CD] | fifty-three | 53 | 0-0 |0.1818181818181818| Equivalence
[NNP] | televisions | tv | 0-0 |0.1818181818181818| Equivalence
[NN] | sixty-seven | 67 | 0-0 |0.1818181818181818| OtherRelated
[NN] | eighty-nine | 89 | 0-0 |0.1818181818181818| OtherRelated
[JJ] | thirty-nine | 39 | 0-0 |0.1818181818181818| Equivalence
[JJ] | forty-three | 43 | 0-0 |0.1818181818181818| Equivalence
[NN] | fifty-three | 53 | 0-0 |0.1818181818181818| Equivalence
[CD] | twenty-four | 24 | 0-0 |0.1818181818181818| Equivalence
[JJ] | fifty-seven | 57 | 0-0 |0.1818181818181818| OtherRelated
[JJ] | twenty-five | 25 | 0-0 |0.1818181818181818| OtherRelated
[NN] | thirty-four | 34 | 0-0 |0.1818181818181818| Equivalence
[JJ] | forty-seven | 47 | 0-0 |0.1818181818181818| OtherRelated
[JJ] | eighty-five | 85 | 0-0 |0.1818181818181818| OtherRelated
[NN] | ninety-nine | 99 | 0-0 |0.1818181818181818| Equivalence
[CD] | thirty-four | 34 | 0-0 |0.1818181818181818| Equivalence
[NNPS] | gouvernementales | gos | 0-0 |0.1875| ForwardEntailment
[NNPS] | gouvernementales | gos | 0-0 |0.1875| ReverseEntailment
[NNS] | kilometers | km | 0-0 |0.2| Equivalence
[CD] | sixty-five | 65 | 0-0 |0.2| OtherRelated
[CD] | three | 3 | 0-0 |0.2| Independent
[JJ] | thirty-two | 32 | 0-0 |0.2| Equivalence
[JJ] | twenty-one | 21 | 0-0 |0.2| Equivalence
[JJ] | sixty-nine | 69 | 0-0 |0.2| Equivalence
[VBG] | lying | l | 0-0 |0.2| Independent
[JJ] | fifty-five | 55 | 0-0 |0.2| Equivalence
[CD] | fifty-five | 55 | 0-0 |0.2| Equivalence
[JJ] | ninety-one | 91 | 0-0 |0.2| Equivalence
[JJ] | forty-five | 45 | 0-0 |0.2| Equivalence
[NN] | television | tv | 0-0 |0.2| Equivalence
[JJ] | sixty-five | 65 | 0-0 |0.2| OtherRelated
[NN] | thirty-two | 32 | 0-0 |0.2| Equivalence
[VBD] | considered | at | 0-0 |0.2| Independent
[JJ] | twenty-six | 26 | 0-0 |0.2| Equivalence
[VBG] | concerning | co | 0-0 |0.2| Independent
[JJ] | twenty-two | 22 | 0-0 |0.2| Equivalence
[CD] | thirty-two | 32 | 0-0 |0.2| Equivalence
[UH] | represents | ls | 0-0 |0.2| Independent
[VBD] | addressing | re | 0-0 |0.2| Independent
[NN] | sixty-four | 64 | 0-0 |0.2| OtherRelated
[NN] | fifty-four | 54 | 0-0 |0.2| OtherRelated
[NN] | forty-five | 45 | 0-0 |0.2| Equivalence
[CD] | twenty-six | 26 | 0-0 |0.2| Equivalence
[NN] | sixty-five | 65 | 0-0 |0.2| OtherRelated
[CD] | thirty-six | 36 | 0-0 |0.2| Equivalence
[NNP] | television | tv | 0-0 |0.2| Equivalence
[JJ] | fifty-nine | 59 | 0-0 |0.2| Independent
[JJ] | fifty-four | 54 | 0-0 |0.2| OtherRelated
[NN] | ninety-six | 96 | 0-0 |0.2| Equivalence
[CD] | fifty-four | 54 | 0-0 |0.2| OtherRelated
[NN] | fifty-nine | 59 | 0-0 |0.2| Independent
[VBD] | considered | in | 0-0 |0.2| Independent
[RB] | twenty-one | 21 | 0-0 |0.2| Equivalence
[CD] | forty-nine | 49 | 0-0 |0.2| Equivalence
[NN] | thirty-six | 36 | 0-0 |0.2| Equivalence
[CD] | forty-five | 45 | 0-0 |0.2| Equivalence
[CD] | twenty-one | 21 | 0-0 |0.2| Equivalence
[NNS] | identifications | ids | 0-0 |0.2| ForwardEntailment
[NN] | sixty-nine | 69 | 0-0 |0.2| Equivalence
[JJ] | ninety-six | 96 | 0-0 |0.2| Equivalence
[NNS] | volts | v | 0-0 |0.2| ReverseEntailment
[JJ] | eighty-six | 86 | 0-0 |0.2| Equivalence
[CD] | seven | 7 | 0-0 |0.2| OtherRelated
[VBZ] | tests | s | 0-0 |0.2| Independent
[NN] | eighty-six | 86 | 0-0 |0.2| Equivalence
[CD] | twenty-two | 22 | 0-0 |0.2| Equivalence
[NN] | fifty-five | 55 | 0-0 |0.2| Equivalence
[JJ] | eighty-one | 81 | 0-0 |0.2| OtherRelated
[RB] | identifier | id | 0-0 |0.2| OtherRelated
[JJ] | sixty-four | 64 | 0-0 |0.2| OtherRelated
[NNS] | identifications | ids | 0-0 |0.2| ReverseEntailment
[NN] | forty-four | 44 | 0-0 |0.2| Independent
[CD] | eight | 8 | 0-0 |0.2| Independent
[VBP] | respecting | re | 0-0 |0.2| Independent
[JJ] | ninety-two | 92 | 0-0 |0.2| Equivalence
[JJ] | forty-nine | 49 | 0-0 |0.2| Equivalence
[NN] | twenty-one | 21 | 0-0 |0.2| Equivalence
[JJ] | thirty-six | 36 | 0-0 |0.2| Equivalence
[JJ] | eighty-two | 82 | 0-0 |0.2| OtherRelated
[JJ] | forty-four | 44 | 0-0 |0.2| Independent
[NN] | ninety-one | 91 | 0-0 |0.2| Equivalence
[NNS] | volts | v | 0-0 |0.2| ForwardEntailment
[UH] | man-oh-manischewitz | rats | 0-0 |0.2105263157894736| Independent
[NNS] | advertisements | ads | 0-0 |0.2142857142857142| ForwardEntailment
[NNS] | identification | ids | 0-0 |0.2142857142857142| ForwardEntailment
[NNS] | advertisements | ads | 0-0 |0.2142857142857142| ReverseEntailment
[NNS] | identification | ids | 0-0 |0.2142857142857142| ReverseEntailment
[CD] | sixty-two | 62 | 0-0 |0.2222222222222222| OtherRelated
[NN] | forty-two | 42 | 0-0 |0.2222222222222222| OtherRelated
[NNS] | megawatts | mw | 0-0 |0.2222222222222222| Equivalence
[JJ] | sixty-one | 61 | 0-0 |0.2222222222222222| OtherRelated
[JJ] | forty-two | 42 | 0-0 |0.2222222222222222| OtherRelated
[JJ] | kilometre | km | 0-0 |0.2222222222222222| Equivalence
[CD] | seventeen | 17 | 0-0 |0.2222222222222222| OtherRelated
[JJ] | fifty-two | 52 | 0-0 |0.2222222222222222| OtherRelated
[NN] | kilometer | km | 0-0 |0.2222222222222222| Equivalence
[JJ] | sixty-six | 66 | 0-0 |0.2222222222222222| Equivalence
[VBD] | regarding | re | 0-0 |0.2222222222222222| Independent
[CD] | forty-one | 41 | 0-0 |0.2222222222222222| OtherRelated
[JJ] | forty-six | 46 | 0-0 |0.2222222222222222| Equivalence
[NN] | forty-one | 41 | 0-0 |0.2222222222222222| OtherRelated
[NN] | fifty-one | 51 | 0-0 |0.2222222222222222| Independent
[VBZ] | indicates | in | 0-0 |0.2222222222222222| Independent
[JJ] | fifty-one | 51 | 0-0 |0.2222222222222222| Independent
[JJ] | forty-one | 41 | 0-0 |0.2222222222222222| OtherRelated
[CD] | forty-six | 46 | 0-0 |0.2222222222222222| Equivalence
[CD] | fifty-six | 56 | 0-0 |0.2222222222222222| OtherRelated
[VBD] | commanded | co | 0-0 |0.2222222222222222| OtherRelated
[JJ] | seventeen | 17 | 0-0 |0.2222222222222222| OtherRelated
[JJ] | fifty-six | 56 | 0-0 |0.2222222222222222| OtherRelated
[NN] | forty-six | 46 | 0-0 |0.2222222222222222| Equivalence
[NN] | sixty-two | 62 | 0-0 |0.2222222222222222| Equivalence
[CD] | fifty-two | 52 | 0-0 |0.2222222222222222| OtherRelated
[JJ] | sixty-two | 62 | 0-0 |0.2222222222222222| Equivalence
[VBD] | involving | in | 0-0 |0.2222222222222222| Independent
[NN] | fifty-two | 52 | 0-0 |0.2222222222222222| OtherRelated
[VBZ] | describes | is | 0-0 |0.2222222222222222| Independent
[VBP] | subscribe | am | 0-0 |0.2222222222222222| Independent
[CD] | forty-two | 42 | 0-0 |0.2222222222222222| OtherRelated
[JJ] | 3-dimensional | 3-d | 0-0 |0.2307692307692307| ForwardEntailment
[NNS] | professionals | pro | 0-0 |0.2307692307692307| Independent
[CD] | five | 5 | 0-0 |0.25| Independent
[VBD] | participated | sat | 0-0 |0.25| Independent
[NN] | zero | 0 | 0-0 |0.25| Equivalence
[VBZ] | services | of | 0-0 |0.25| Independent
[NNS] | responsibilities | duty | 0-0 |0.25| Equivalence
[VBN] | told | l | 0-0 |0.25| Independent
[VBN] | zero | 0 | 0-0 |0.25| Equivalence
[JJ] | nineteen | 19 | 0-0 |0.25| Equivalence
[VBZ] | benefits | of | 0-0 |0.25| Independent
[NN] | megawatt | mw | 0-0 |0.25| Equivalence
[VBZ] | benefits | is | 0-0 |0.25| Independent
[NNS] | responsibilities | acts | 0-0 |0.25| Independent
[VBZ] | benefits | to | 0-0 |0.25| Independent
[CD] | fourteen | 14 | 0-0 |0.25| OtherRelated
[NNS] | copper-fucking-coins | coins | 0-0 |0.25| ForwardEntailment
[NNS] | responsibilities | jobs | 0-0 |0.25| Independent
[VBD] | felt | l | 0-0 |0.25| Independent
[NN] | nineteen | 19 | 0-0 |0.25| Equivalence
[VBD] | attended | at | 0-0 |0.25| Independent
[VBZ] | includes | in | 0-0 |0.25| Independent
[CD] | zero | 0 | 0-0 |0.25| Equivalence
[NN] | eighteen | 18 | 0-0 |0.25| OtherRelated
[VBP] | nineteen | 19 | 0-0 |0.25| Equivalence
[CD] | nine | 9 | 0-0 |0.25| Equivalence
[NNS] | reservations | res | 0-0 |0.25| Independent
[UH] | fourteen | 14 | 0-0 |0.25| OtherRelated
[JJ] | odd-numbered | odd | 0-0 |0.25| ForwardEntailment
[VBZ] | supports | to | 0-0 |0.25| Independent
[VBN] | left | l | 0-0 |0.25| Independent
[JJ] | zero | 0 | 0-0 |0.25| Equivalence
[VBD] | contradicted | con | 0-0 |0.25| Independent
[VBD] | left | l | 0-0 |0.25| Independent
[VBD] | provided | de | 0-0 |0.25| Independent
[NN] | veterinarian | vet | 0-0 |0.25| ForwardEntailment
[VB] | zero | 0 | 0-0 |0.25| Independent
[VBZ] | responsibilities | lies | 0-0 |0.25| Independent
[NNS] | represent-atives | reps | 0-0 |0.25| ForwardEntailment
[VBZ] | believes | is | 0-0 |0.25| Independent
[CD] | four | 4 | 0-0 |0.25| Independent
[CD] | nineteen | 19 | 0-0 |0.25| Equivalence
[VBD] | involved | in | 0-0 |0.25| Independent
[CD] | thirteen | 13 | 0-0 |0.25| Equivalence
[VBN] | appropriated | fit | 0-0 |0.25| Independent
[VBD] | included | in | 0-0 |0.25| Independent
[VBN] | incorporated | add | 0-0 |0.25| Independent
[NN] | fourteen | 14 | 0-0 |0.25| OtherRelated
[NN] | veterinarian | vet | 0-0 |0.25| ReverseEntailment
[VBN] | participated | sat | 0-0 |0.25| Independent
[JJ] | eighteen | 18 | 0-0 |0.25| OtherRelated
[VBP] | zero | 0 | 0-0 |0.25| Equivalence
[CD] | eighteen | 18 | 0-0 |0.25| OtherRelated
[UH] | man-oh-manischewitz | jerks | 0-0 |0.2631578947368421| Independent
[NN] | synchronisation | sync | 0-0 |0.2666666666666666| ReverseEntailment
[NN] | synchronization | sync | 0-0 |0.2666666666666666| ForwardEntailment
[VBD] | recommendations | were | 0-0 |0.2666666666666666| Independent
[JJ] | methamphetamine | meth | 0-0 |0.2666666666666666| ReverseEntailment
[NN] | synchronization | sync | 0-0 |0.2666666666666666| ReverseEntailment
[JJ] | methamphetamine | meth | 0-0 |0.2666666666666666| ForwardEntailment
[NNS] | representatives | reps | 0-0 |0.2666666666666666| ForwardEntailment
[VBD] | left-right-left | left | 0-0 |0.2666666666666666| Independent
[NNS] | representatives | reps | 0-0 |0.2666666666666666| ReverseEntailment
[VBN] | characteristics | used | 0-0 |0.2666666666666666| Independent
[NN] | synchronisation | sync | 0-0 |0.2666666666666666| ForwardEntailment
[NNPS] | representatives | reps | 0-0 |0.2666666666666666| ForwardEntailment
[NN] | methamphetamine | meth | 0-0 |0.2666666666666666| ReverseEntailment
[NNPS] | representatives | reps | 0-0 |0.2666666666666666| ReverseEntailment
[NNS] | representations | reps | 0-0 |0.2666666666666666| Independent
[NNS] | identifiers | ids | 0-0 |0.2727272727272727| Equivalence
[NN] | legislation | law | 0-0 |0.2727272727272727| Equivalence
[NNP] | televisions | tvs | 0-0 |0.2727272727272727| Equivalence
[VBN] | enlightened | lit | 0-0 |0.2727272727272727| Independent
[NN] | prohibition | ban | 0-0 |0.2727272727272727| Equivalence
[VB] | prohibiting | ban | 0-0 |0.2727272727272727| Equivalence
[NNPS] | identifiers | ids | 0-0 |0.2727272727272727| Equivalence
[VBP] | participate | are | 0-0 |0.2727272727272727| Independent
[NNS] | televisions | tvs | 0-0 |0.2727272727272727| Equivalence
[VBZ] | interrelationships | links | 0-0 |0.2777777777777778| Independent
[VBZ] | interrelationships | joins | 0-0 |0.2777777777777778| Independent
[VBG] | leaving | le | 0-0 |0.2857142857142857| Independent
[NNS] | representative | reps | 0-0 |0.2857142857142857| ForwardEntailment
[NNS] | demonstrations | demo | 0-0 |0.2857142857142857| ForwardEntailment
[VBP] | 'vebeen | am | 0-0 |0.2857142857142857| Independent
[JJ] | seventy | 70 | 0-0 |0.2857142857142857| Equivalence
[JJ] | free-of-charge | free | 0-0 |0.2857142857142857| OtherRelated
[VBZ] | becomes | is | 0-0 |0.2857142857142857| Independent
[VBZ] | becomes | be | 0-0 |0.2857142857142857| Independent
[VBN] | reimbursements | paid | 0-0 |0.2857142857142857| Independent
[VBN] | fifteen | 15 | 0-0 |0.2857142857142857| Equivalence
[VBP] | address | am | 0-0 |0.2857142857142857| Independent
[VBD] | 'vebeen | am | 0-0 |0.2857142857142857| Independent
[VB] | exactly | is | 0-0 |0.2857142857142857| Independent
[NNS] | demonstrations | demo | 0-0 |0.2857142857142857| ReverseEntailment
[VBD] | entered | en | 0-0 |0.2857142857142857| Independent
[JJ] | anti-satellite | asat | 0-0 |0.2857142857142857| Equivalence
[VBD] | visited | to | 0-0 |0.2857142857142857| Independent
[NNS] | reprsentatives | reps | 0-0 |0.2857142857142857| Independent
[NNS] | communications | jobs | 0-0 |0.2857142857142857| Independent
[VBP] | believe | am | 0-0 |0.2857142857142857| Independent
[CD] | seventy | 70 | 0-0 |0.2857142857142857| Equivalence
[FW] | targets | et | 0-0 |0.2857142857142857| Independent
[VBD] | establishments | were | 0-0 |0.2857142857142857| Independent
[CD] | sixteen | 16 | 0-0 |0.2857142857142857| Equivalence
[VBD] | visited | at | 0-0 |0.2857142857142857| Independent
[VBD] | implementation | used | 0-0 |0.2857142857142857| Independent
[CD] | fifteen | 15 | 0-0 |0.2857142857142857| Equivalence
[VBZ] | belongs | is | 0-0 |0.2857142857142857| Independent
[VBZ] | communications | uses | 0-0 |0.2857142857142857| Independent
[NNS] | professionnels | pros | 0-0 |0.2857142857142857| Independent
[NNS] | representative | reps | 0-0 |0.2857142857142857| ReverseEntailment
[NN] | seventy | 70 | 0-0 |0.2857142857142857| Equivalence
[JJ] | wait-wait-wait | wait | 0-0 |0.2857142857142857| ForwardEntailment
[JJ] | micro-enterprises | micro | 0-0 |0.2941176470588235| OtherRelated
[VBZ] | instrumentalities | tools | 0-0 |0.2941176470588235| ReverseEntailment
[NN] | servicemen | man | 0-0 |0.3| ReverseEntailment
[VBN] | eliminated | rid | 0-0 |0.3| Independent
[NNS] | jobholders | job | 0-0 |0.3| Independent
[VBN] | leadership | led | 0-0 |0.3| OtherRelated
[JJ] | employment | job | 0-0 |0.3| ReverseEntailment
[NNS] | keystrokes | key | 0-0 |0.3| Independent
[NN] | assistance | aid | 0-0 |0.3| OtherRelated
[NN] | laboratory | lab | 0-0 |0.3| ForwardEntailment
[NN] | laboratory | lab | 0-0 |0.3| ReverseEntailment
[VBN] | eradicated | rid | 0-0 |0.3| Independent
[VBZ] | represents | rep | 0-0 |0.3| Independent
[NN] | servicemen | men | 0-0 |0.3| ReverseEntailment
[VBN] | prohibited | ban | 0-0 |0.3| Equivalence
[VB] | assistance | aid | 0-0 |0.3| OtherRelated
[VBD] | containing | con | 0-0 |0.3| Independent
[VB] | purchasing | buy | 0-0 |0.3| OtherRelated
[VBD] | considered | was | 0-0 |0.3| Independent
[VBG] | increasing | add | 0-0 |0.3| Independent
[NNS] | activities | act | 0-0 |0.3| ForwardEntailment
[VBD] | considered | had | 0-0 |0.3| Independent
[NNS] | kilometers | kms | 0-0 |0.3| Equivalence
[JJ] | homosexual | gay | 0-0 |0.3| Equivalence
[NNP] | television | tvs | 0-0 |0.3| Equivalence
[NN] | automobile | car | 0-0 |0.3| Equivalence
[NNS] | identities | ids | 0-0 |0.3| ForwardEntailment
[VBG] | understanding | know | 0-0 |0.3076923076923077| Independent
[VBG] | synchronizing | sync | 0-0 |0.3076923076923077| ForwardEntailment
[NNPS] | organisations | ngos | 0-0 |0.3076923076923077| ReverseEntailment
[VBG] | participating | part | 0-0 |0.3076923076923077| OtherRelated
[UH] | motherfuckers | scum | 0-0 |0.3076923076923077| Independent
[VBG] | synchronising | sync | 0-0 |0.3076923076923077| ReverseEntailment
[VBG] | acknowledging | know | 0-0 |0.3076923076923077| ReverseEntailment
[VBN] | reimbursement | paid | 0-0 |0.3076923076923077| Independent
[VBG] | synchronizing | sync | 0-0 |0.3076923076923077| ReverseEntailment
[NNS] | veterinarians | vets | 0-0 |0.3076923076923077| ForwardEntailment
[NN] | synchronizing | sync | 0-0 |0.3076923076923077| ReverseEntailment
[NN] | synchronizing | sync | 0-0 |0.3076923076923077| ForwardEntailment
[VBD] | reimbursement | paid | 0-0 |0.3076923076923077| OtherRelated
[JJ] | twenty-second | 22nd | 0-0 |0.3076923076923077| Equivalence
[JJ] | fully-fledged | full | 0-0 |0.3076923076923077| ForwardEntailment
[NNS] | documentation | docs | 0-0 |0.3076923076923077| Independent
[VB] | demonstrating | show | 0-0 |0.3076923076923077| Independent
[VBD] | understanding | knew | 0-0 |0.3076923076923077| Independent
[VBG] | acknowledging | know | 0-0 |0.3076923076923077| ForwardEntailment
[VBG] | demonstrating | show | 0-0 |0.3076923076923077| Independent
[VBN] | characterised | rise | 0-0 |0.3076923076923077| Independent
[NN] | demonstration | demo | 0-0 |0.3076923076923077| ReverseEntailment
[NNS] | veterinarians | vets | 0-0 |0.3076923076923077| ReverseEntailment
[RB] | appropriately | duly | 0-0 |0.3076923076923077| Equivalence
[VBZ] | relationships | ties | 0-0 |0.3076923076923077| Independent
[NNS] | professionals | pros | 0-0 |0.3076923076923077| Independent
[VBG] | synchronising | sync | 0-0 |0.3076923076923077| ForwardEntailment
[NNS] | prostitute-users | users | 0-0 |0.3125| ReverseEntailment
[NNS] | responsibilities | costs | 0-0 |0.3125| Independent
[VBZ] | responsibilities | rests | 0-0 |0.3125| Independent
[NNPS] | responsibilities | tasks | 0-0 |0.3125| Independent
[NNS] | responsibilities | terms | 0-0 |0.3125| Independent
[NNS] | drug-trafficking | drugs | 0-0 |0.3125| ForwardEntailment
[NNS] | prostitute-users | users | 0-0 |0.3125| ForwardEntailment
