Tag|Longer|Shorter|Score|Ratio|Equivalence
[JJ]|twenty-one|21|0-0|0.2|Equivalence
[JJ]|sixty-nine|69|0-0|0.2|Equivalence
[JJ]|forty-five|45|0-0|0.2|Equivalence
[CD]|twenty-two|22|0-0|0.2|Equivalence
[JJ]|ninety-six|96|0-0|0.2|Equivalence
[RB]|twenty-one|21|0-0|0.2|Equivalence
[NN]|ninety-six|96|0-0|0.2|Equivalence
[JJ]|eighty-six|86|0-0|0.2|Equivalence
[NN]|television|tv|0-0|0.2|Equivalence
[CD]|fifty-five|55|0-0|0.2|Equivalence
[CD]|thirty-two|32|0-0|0.2|Equivalence
[JJ]|thirty-six|36|0-0|0.2|Equivalence
[JJ]|ninety-two|92|0-0|0.2|Equivalence
[NN]|kilometer|km|0-0|0.2222222222222222|Equivalence
[JJ]|sixty-six|66|0-0|0.2222222222222222|Equivalence
[NNS]|megawatts|mw|0-0|0.2222222222222222|Equivalence
[NN]|forty-six|46|0-0|0.2222222222222222|Equivalence
[JJ]|forty-six|46|0-0|0.2222222222222222|Equivalence
[NN]|sixty-two|62|0-0|0.2222222222222222|Equivalence
[CD]|forty-six|46|0-0|0.2222222222222222|Equivalence
[JJ]|kilometre|km|0-0|0.2222222222222222|Equivalence
[JJ]|sixty-two|62|0-0|0.2222222222222222|Equivalence
[JJ]|nineteen|19|0-0|0.25|Equivalence
[CD]|nineteen|19|0-0|0.25|Equivalence
[NN]|megawatt|mw|0-0|0.25|Equivalence
[CD]|thirteen|13|0-0|0.25|Equivalence
[VBP]|nineteen|19|0-0|0.25|Equivalence
[NN]|zero|0|0-0|0.25|Equivalence
[CD]|zero|0|0-0|0.25|Equivalence
[VBN]|zero|0|0-0|0.25|Equivalence
[CD]|nine|9|0-0|0.25|Equivalence
[JJ]|zero|0|0-0|0.25|Equivalence
[NNS]|responsibilities|duty|0-0|0.25|Equivalence
[NN]|nineteen|19|0-0|0.25|Equivalence
[VBP]|zero|0|0-0|0.25|Equivalence
[NNS]|televisions|tvs|0-0|0.2727272727272727|Equivalence
[NNP]|televisions|tvs|0-0|0.2727272727272727|Equivalence
[NN]|prohibition|ban|0-0|0.2727272727272727|Equivalence
[NNPS]|identifiers|ids|0-0|0.2727272727272727|Equivalence
[NN]|legislation|law|0-0|0.2727272727272727|Equivalence
[NNS]|identifiers|ids|0-0|0.2727272727272727|Equivalence
[VB]|prohibiting|ban|0-0|0.2727272727272727|Equivalence
[CD]|fifteen|15|0-0|0.2857142857142857|Equivalence
[VBN]|fifteen|15|0-0|0.2857142857142857|Equivalence
[NN]|seventy|70|0-0|0.2857142857142857|Equivalence
[CD]|sixteen|16|0-0|0.2857142857142857|Equivalence
[JJ]|anti-satellite|asat|0-0|0.2857142857142857|Equivalence
[CD]|seventy|70|0-0|0.2857142857142857|Equivalence
[JJ]|seventy|70|0-0|0.2857142857142857|Equivalence
[VBN]|prohibited|ban|0-0|0.3|Equivalence
[JJ]|homosexual|gay|0-0|0.3|Equivalence
[NN]|automobile|car|0-0|0.3|Equivalence
[NNP]|television|tvs|0-0|0.3|Equivalence
[NNS]|kilometers|kms|0-0|0.3|Equivalence
[RB]|appropriately|duly|0-0|0.3076923076923077|Equivalence
[JJ]|twenty-second|22nd|0-0|0.3076923076923077|Equivalence
[NNPS]|laboratories|labs|0-0|0.3333333333333333|Equivalence
[NNP]|eighty|80|0-0|0.3333333333333333|Equivalence
[CD]|twelve|12|0-0|0.3333333333333333|Equivalence
[JJ]|eighty|80|0-0|0.3333333333333333|Equivalence
[FW]|informations|info|0-0|0.3333333333333333|Equivalence
[VBZ]|prohibitions|bans|0-0|0.3333333333333333|Equivalence
[NN]|eighty|80|0-0|0.3333333333333333|Equivalence
[VB]|prohibits|ban|0-0|0.3333333333333333|Equivalence
[NN]|doctorate|phd|0-0|0.3333333333333333|Equivalence
[CD]|eleven|11|0-0|0.3333333333333333|Equivalence
[JJ]|re-synchronization|resync|0-0|0.3333333333333333|Equivalence
[JJ]|ninety|90|0-0|0.3333333333333333|Equivalence
[NN]|influenza|flu|0-0|0.3333333333333333|Equivalence
[NN]|ninety|90|0-0|0.3333333333333333|Equivalence
[VBN]|disguised|hid|0-0|0.3333333333333333|Equivalence
[JJ]|influenza|flu|0-0|0.3333333333333333|Equivalence
[NN]|objective|aim|0-0|0.3333333333333333|Equivalence
[RB]|subsequently|then|0-0|0.3333333333333333|Equivalence
[CD]|six|6|0-0|0.3333333333333333|Equivalence
[RB]|consequently|thus|0-0|0.3333333333333333|Equivalence
[CD]|ninety|90|0-0|0.3333333333333333|Equivalence
[CD]|eighty|80|0-0|0.3333333333333333|Equivalence
[JJ]|twenty-first|21st|0-0|0.3333333333333333|Equivalence
[NNS]|extraterrestrials|aliens|0-0|0.3529411764705882|Equivalence
[NN]|short-sightedness|myopia|0-0|0.3529411764705882|Equivalence
[NNPS]|specifications|specs|0-0|0.3571428571428571|Equivalence
[VBZ]|prohibiting|bans|0-0|0.3636363636363636|Equivalence
[NN]|information|info|0-0|0.3636363636363636|Equivalence
[JJ]|information|info|0-0|0.3636363636363636|Equivalence
[JJ]|counterfeit|fake|0-0|0.3636363636363636|Equivalence
[VBG]|confronting|face|0-0|0.3636363636363636|Equivalence
[VBP]|information|info|0-0|0.3636363636363636|Equivalence
[VBZ]|prohibition|bans|0-0|0.3636363636363636|Equivalence
[NN]|examination|exam|0-0|0.3636363636363636|Equivalence
[JJ]|mathematics|math|0-0|0.3636363636363636|Equivalence
[NNPS]|responsibilities|duties|0-0|0.375|Equivalence
[VB]|prohibit|ban|0-0|0.375|Equivalence
[NNS]|responsibilities|duties|0-0|0.375|Equivalence
[NN]|february|feb|0-0|0.375|Equivalence
[VBP]|prohibit|ban|0-0|0.375|Equivalence
[JJ]|cause-and-effect|causal|0-0|0.375|Equivalence
[NN]|poliomyelitis|polio|0-0|0.3846153846153846|Equivalence
[VBP]|poliomyelitis|polio|0-0|0.3846153846153846|Equivalence
[VBG]|photographing|photo|0-0|0.3846153846153846|Equivalence
[RB]|unfortunately|sadly|0-0|0.3846153846153846|Equivalence
[JJ]|poliomyelitis|polio|0-0|0.3846153846153846|Equivalence
[NNP]|euro-mediterranean|euromed|0-0|0.3888888888888889|Equivalence
[NN]|thirteenth|13th|0-0|0.4|Equivalence
[VB]|increasing|rise|0-0|0.4|Equivalence
[JJ]|eighteenth|18th|0-0|0.4|Equivalence
[RB]|adequately|duly|0-0|0.4|Equivalence
[JJ]|sexually-transmitted|venereal|0-0|0.4|Equivalence
[NN]|automobile|auto|0-0|0.4|Equivalence
[JJ]|thirteenth|13th|0-0|0.4|Equivalence
[NN]|partiality|bias|0-0|0.4|Equivalence
[NNPS]|objectives|aims|0-0|0.4|Equivalence
[JJ]|high-definition|hi-def|0-0|0.4|Equivalence
[JJ]|nineteenth|19th|0-0|0.4|Equivalence
[JJ]|tremendous|huge|0-0|0.4|Equivalence
[VBN]|confronted|face|0-0|0.4|Equivalence
[JJ]|science-fiction|sci-fi|0-0|0.4|Equivalence
[NN]|high-definition|hi-def|0-0|0.4|Equivalence
[JJ]|fourteenth|14th|0-0|0.4|Equivalence
[NNS]|neo-conservatives|neocons|0-0|0.4117647058823529|Equivalence
[NN]|manufacturer|maker|0-0|0.4166666666666667|Equivalence
[NNPS]|examinations|exams|0-0|0.4166666666666667|Equivalence
[NNPS]|technologies|techs|0-0|0.4166666666666667|Equivalence
[RB]|consequently|hence|0-0|0.4166666666666667|Equivalence
[VBN]|concentrated|focus|0-0|0.4166666666666667|Equivalence
[NNS]|examinations|exams|0-0|0.4166666666666667|Equivalence
[VBN]|photographed|photo|0-0|0.4166666666666667|Equivalence
[NNPS]|perspectives|views|0-0|0.4166666666666667|Equivalence
[VBD]|expenditures|spent|0-0|0.4166666666666667|Equivalence
[VBD]|concentrated|focus|0-0|0.4166666666666667|Equivalence
[VBN]|discontinued|ended|0-0|0.4166666666666667|Equivalence
[JJ]|bidding|bid|0-0|0.4285714285714285|Equivalence
[JJ]|bye-bye|bye|0-0|0.4285714285714285|Equivalence
[NN]|winning|win|0-0|0.4285714285714285|Equivalence
[NN]|soybean|soy|0-0|0.4285714285714285|Equivalence
[JJ]|lighted|lit|0-0|0.4285714285714285|Equivalence
[JJ]|crucial|key|0-0|0.4285714285714285|Equivalence
[NN]|purpose|aim|0-0|0.4285714285714285|Equivalence
[JJ]|seventh|7th|0-0|0.4285714285714285|Equivalence
[JJ]|strange|odd|0-0|0.4285714285714285|Equivalence
[NNPS]|investigations|probes|0-0|0.4285714285714285|Equivalence
[CD]|seventy|70s|0-0|0.4285714285714285|Equivalence
[NNS]|responsibility|duties|0-0|0.4285714285714285|Equivalence
[NN]|cutting|cut|0-0|0.4285714285714285|Equivalence
[NN]|digging|dig|0-0|0.4285714285714285|Equivalence
[JJ]|laotian|lao|0-0|0.4285714285714285|Equivalence
[JJ]|banning|ban|0-0|0.4285714285714285|Equivalence
[NN]|banning|ban|0-0|0.4285714285714285|Equivalence
[NN]|mapping|map|0-0|0.4285714285714285|Equivalence
[RB]|bye-bye|bye|0-0|0.4285714285714285|Equivalence
[NNS]|investigations|probes|0-0|0.4285714285714285|Equivalence
[JJ]|winning|win|0-0|0.4285714285714285|Equivalence
[VBG]|helping|aid|0-0|0.4285714285714285|Equivalence
[NNS]|penitentiaries|prison|0-0|0.4285714285714285|Equivalence
[NN]|bye-bye|bye|0-0|0.4285714285714285|Equivalence
[NN]|bidding|bid|0-0|0.4285714285714285|Equivalence
[JJ]|masculine|male|0-0|0.4444444444444444|Equivalence
[VBZ]|prohibits|bans|0-0|0.4444444444444444|Equivalence
[JJ]|fifteenth|15th|0-0|0.4444444444444444|Equivalence
[NN]|labyrinth|maze|0-0|0.4444444444444444|Equivalence
[NNPS]|increases|rise|0-0|0.4444444444444444|Equivalence
[NNPS]|telecommunications|telecoms|0-0|0.4444444444444444|Equivalence
[NN]|dormitory|dorm|0-0|0.4444444444444444|Equivalence
[VBG]|obtaining|gain|0-0|0.4444444444444444|Equivalence
[VB]|increased|rise|0-0|0.4444444444444444|Equivalence
[JJ]|limousine|limo|0-0|0.4444444444444444|Equivalence
[UH]|policemen|cops|0-0|0.4444444444444444|Equivalence
[NN]|limousine|limo|0-0|0.4444444444444444|Equivalence
[JJ]|sixteenth|16th|0-0|0.4444444444444444|Equivalence
[VBN]|increased|rise|0-0|0.4444444444444444|Equivalence
[NNS]|eastwards|east|0-0|0.4444444444444444|Equivalence
[JJ]|twentieth|20th|0-0|0.4444444444444444|Equivalence
[UH]|peatlands|bogs|0-0|0.4444444444444444|Equivalence
[NN]|remainder|rest|0-0|0.4444444444444444|Equivalence
[NN]|objective|goal|0-0|0.4444444444444444|Equivalence
[NNPS]|objective|aims|0-0|0.4444444444444444|Equivalence
[VBZ]|decreases|fall|0-0|0.4444444444444444|Equivalence
[RB]|therefore|thus|0-0|0.4444444444444444|Equivalence
[VBN]|expenditure|spent|0-0|0.4545454545454545|Equivalence
[NN]|photography|photo|0-0|0.4545454545454545|Equivalence
[NNS]|photographs|photo|0-0|0.4545454545454545|Equivalence
[NNS]|examination|exams|0-0|0.4545454545454545|Equivalence
[VBN]|disappeared|faded|0-0|0.4545454545454545|Equivalence
[VBD]|disappeared|faded|0-0|0.4545454545454545|Equivalence
[NNS]|dormitories|dorms|0-0|0.4545454545454545|Equivalence
[NNS]|mathematics|maths|0-0|0.4545454545454545|Equivalence
[JJ]|incompetent|inept|0-0|0.4545454545454545|Equivalence
[NN]|criminality|crime|0-0|0.4545454545454545|Equivalence
[VBZ]|instruments|tools|0-0|0.4545454545454545|Equivalence
[JJ]|azerbaijani|azeri|0-0|0.4545454545454545|Equivalence
[VB]|discontinue|cease|0-0|0.4545454545454545|Equivalence
[NN]|foolishness|folly|0-0|0.4545454545454545|Equivalence
[NN]|culpability|guilt|0-0|0.4545454545454545|Equivalence
[UH]|regulations|rules|0-0|0.4545454545454545|Equivalence
[NNPS]|locomotives|locos|0-0|0.4545454545454545|Equivalence
[RB]|regrettably|sadly|0-0|0.4545454545454545|Equivalence
[JJ]|frightening|scary|0-0|0.4545454545454545|Equivalence
[JJ]|intelligent|smart|0-0|0.4545454545454545|Equivalence
[VBP]|concentrate|focus|0-0|0.4545454545454545|Equivalence
[VBZ]|verifications|checks|0-0|0.4615384615384615|Equivalence
[NN]|consternation|dismay|0-0|0.4615384615384615|Equivalence
[RB]|intelligently|wisely|0-0|0.4615384615384615|Equivalence
[VBN]|ill-treatment|abused|0-0|0.4615384615384615|Equivalence
[NN]|approximately|approx|0-0|0.4615384615384615|Equivalence
[NNS]|modifications|change|0-0|0.4615384615384615|Equivalence
[VBD]|ill-treatment|abused|0-0|0.4615384615384615|Equivalence
[NNPS]|manufacturers|makers|0-0|0.4615384615384615|Equivalence
[JJ]|undisciplined|unruly|0-0|0.4615384615384615|Equivalence
[VB]|approximately|approx|0-0|0.4615384615384615|Equivalence
[NNS]|dissertations|theses|0-0|0.4615384615384615|Equivalence
[RB]|predominantly|mostly|0-0|0.4615384615384615|Equivalence
[NNPS]|verifications|checks|0-0|0.4615384615384615|Equivalence
[JJ]|uncomfortable|uneasy|0-0|0.4615384615384615|Equivalence
[RB]|predominantly|mainly|0-0|0.4615384615384615|Equivalence
[RB]|categorically|flatly|0-0|0.4615384615384615|Equivalence
[RB]|approximately|nearly|0-0|0.4615384615384615|Equivalence
[NN]|advertisement|advert|0-0|0.4615384615384615|Equivalence
[NN]|notifications|notice|0-0|0.4615384615384615|Equivalence
[JJ]|high-technology|hi-tech|0-0|0.4666666666666667|Equivalence
[JJ]|self-interested|selfish|0-0|0.4666666666666667|Equivalence
[IN]|notwithstanding|despite|0-0|0.4666666666666667|Equivalence
[JJ]|ever-increasing|growing|0-0|0.4666666666666667|Equivalence
[NNS]|neo-conservatives|neo-cons|0-0|0.4705882352941176|Equivalence
[JJ]|dendrochronological|tree-ring|0-0|0.4736842105263157|Equivalence
[JJ]|portuguese-speaking|lusophone|0-0|0.4736842105263157|Equivalence
[JJ]|subsequent|later|0-0|0.5|Equivalence
[JJ]|contemporary|modern|0-0|0.5|Equivalence
[NN]|defamation|libel|0-0|0.5|Equivalence
[NNPS]|mappings|maps|0-0|0.5|Equivalence
[NNS]|listings|list|0-0|0.5|Equivalence
[JJ]|swimming|swim|0-0|0.5|Equivalence
[RB]|properly|duly|0-0|0.5|Equivalence
[JJ]|second|2nd|0-0|0.5|Equivalence
[NNS]|chatting|chat|0-0|0.5|Equivalence
[JJ]|non-agricultural|non-farm|0-0|0.5|Equivalence
[VBN]|photograph|photo|0-0|0.5|Equivalence
[NN]|photograph|photo|0-0|0.5|Equivalence
[JJ]|low-resolution|low-res|0-0|0.5|Equivalence
[VBP]|increase|rise|0-0|0.5|Equivalence
[UH]|regulation|rules|0-0|0.5|Equivalence
[RB]|indiscriminately|randomly|0-0|0.5|Equivalence
[NN]|dissertation|thesis|0-0|0.5|Equivalence
[NNPS]|agreements|pacts|0-0|0.5|Equivalence
[NNS]|cuttings|cuts|0-0|0.5|Equivalence
[NN]|disintegration|breakup|0-0|0.5|Equivalence
[NNS]|advertisements|adverts|0-0|0.5|Equivalence
[RB]|frequently|often|0-0|0.5|Equivalence
[JJ]|well-known|known|0-0|0.5|Equivalence
[NNP]|telephones|phone|0-0|0.5|Equivalence
[CD]|ninety|90s|0-0|0.5|Equivalence
[JJ]|characteristic|typical|0-0|0.5|Equivalence
[VBZ]|discontinues|ceases|0-0|0.5|Equivalence
[VBN]|confronted|faced|0-0|0.5|Equivalence
[NN]|carpet|rug|0-0|0.5|Equivalence
[NNS]|scanning|scan|0-0|0.5|Equivalence
[VBZ]|expenditures|spends|0-0|0.5|Equivalence
[JJ]|scanning|scan|0-0|0.5|Equivalence
[NN]|increase|rise|0-0|0.5|Equivalence
[NNPS]|justifications|grounds|0-0|0.5|Equivalence
[VB]|increase|rise|0-0|0.5|Equivalence
[VB]|discourage|deter|0-0|0.5|Equivalence
[NN]|refrigerator|fridge|0-0|0.5|Equivalence
[RB]|completely|fully|0-0|0.5|Equivalence
[VBP]|disappearing|vanish|0-0|0.5|Equivalence
[NN]|counterfeiting|forgery|0-0|0.5|Equivalence
[VBD]|declines|fall|0-0|0.5|Equivalence
[NN]|kilogram|kilo|0-0|0.5|Equivalence
[VBZ]|disappears|fades|0-0|0.5|Equivalence
[JJ]|unsuitable|unfit|0-0|0.5|Equivalence
[NNS]|clarifications|clarify|0-0|0.5|Equivalence
[VBD]|declined|fall|0-0|0.5|Equivalence
[VBD]|declined|fell|0-0|0.5|Equivalence
[JJ]|us-british|us-uk|0-0|0.5|Equivalence
[VBD]|declines|fell|0-0|0.5|Equivalence
[NNS]|penitentiaries|prisons|0-0|0.5|Equivalence
[JJ]|penitentiary|prison|0-0|0.5|Equivalence
[JJ]|fiftieth|50th|0-0|0.5|Equivalence
[JJ]|intermediate-level|mid-level|0-0|0.5|Equivalence
[NNS]|households|homes|0-0|0.5|Equivalence
[JJ]|towing|tow|0-0|0.5|Equivalence
[NNS]|biddings|bids|0-0|0.5|Equivalence
[NN]|spying|spy|0-0|0.5|Equivalence
[NNS]|mappings|maps|0-0|0.5|Equivalence
[NN]|towing|tow|0-0|0.5|Equivalence
[JJ]|sixtieth|60th|0-0|0.5|Equivalence
[VB]|mutilate|maim|0-0|0.5|Equivalence
[VBN]|declined|fell|0-0|0.5|Equivalence
[VBN]|declined|fall|0-0|0.5|Equivalence
[JJ]|okay|ok|0-0|0.5|Equivalence
[UH]|okay|ok|0-0|0.5|Equivalence
[NN]|chimpanzee|chimp|0-0|0.5|Equivalence
[NNPS]|cooperatives|co-ops|0-0|0.5|Equivalence
[NNPS]|households|homes|0-0|0.5|Equivalence
[NN]|notification|notice|0-0|0.5|Equivalence
[RB]|okay|ok|0-0|0.5|Equivalence
[NNP]|swimming|swim|0-0|0.5|Equivalence
[NNP]|serbians|serb|0-0|0.5|Equivalence
[VBN]|discontinued|ceased|0-0|0.5|Equivalence
[RB]|courageously|boldly|0-0|0.5|Equivalence
[NN]|one-half|half|0-0|0.5|Equivalence
[NN]|drumming|drum|0-0|0.5|Equivalence
[JJ]|well-qualified|skilled|0-0|0.5|Equivalence
[JJ]|fortieth|40th|0-0|0.5|Equivalence
[NNPS]|verification|checks|0-0|0.5|Equivalence
[JJ]|pre-fabricated|precast|0-0|0.5|Equivalence
[NN]|zero|0s|0-0|0.5|Equivalence
[NNPS]|purposes|aims|0-0|0.5|Equivalence
[RB]|tremendously|hugely|0-0|0.5|Equivalence
[RB]|eastward|east|0-0|0.5|Equivalence
[VBN]|increasing|risen|0-0|0.5|Equivalence
[NN]|swimming|swim|0-0|0.5|Equivalence
[RB]|sufficiently|enough|0-0|0.5|Equivalence
[NNPS]|confrontations|clashes|0-0|0.5|Equivalence
[JJ]|photograph|photo|0-0|0.5|Equivalence
[JJ]|eighth|8th|0-0|0.5|Equivalence
[NN]|proprietor|owner|0-0|0.5|Equivalence
[VBP]|discourage|deter|0-0|0.5|Equivalence
[NN]|mixing|mix|0-0|0.5|Equivalence
[VBN]|mistreatment|abused|0-0|0.5|Equivalence
[NN]|faxing|fax|0-0|0.5|Equivalence
[VBZ]|dispatches|sends|0-0|0.5|Equivalence
[JJ]|additional|extra|0-0|0.5|Equivalence
[JJ]|courageous|brave|0-0|0.5|Equivalence
[NNS]|openings|open|0-0|0.5|Equivalence
[VB]|one-half|half|0-0|0.5|Equivalence
[JJ]|one-half|half|0-0|0.5|Equivalence
[VB]|amalgamate|merge|0-0|0.5|Equivalence
[JJ]|fourth|4th|0-0|0.5|Equivalence
[NN]|scarring|scar|0-0|0.5|Equivalence
[NNPS]|penitentiaries|prisons|0-0|0.5|Equivalence
[JJ]|environmentally-friendly|eco-friendly|0-0|0.5|Equivalence
[JJ]|enormous|huge|0-0|0.5|Equivalence
[JJ]|american-led|us-led|0-0|0.5|Equivalence
[JJ]|preposterous|absurd|0-0|0.5|Equivalence
[JJ]|pro-american|pro-us|0-0|0.5|Equivalence
[NNP]|tramways|tram|0-0|0.5|Equivalence
[JJ]|day-to-day|daily|0-0|0.5|Equivalence
[NNP]|scanning|scan|0-0|0.5|Equivalence
[NN]|footwear|shoe|0-0|0.5|Equivalence
[UH]|objectives|goals|0-0|0.5|Equivalence
[NNPS]|telephones|phone|0-0|0.5|Equivalence
[RB]|infrequently|rarely|0-0|0.5|Equivalence
[VBN]|investigated|probed|0-0|0.5|Equivalence
[NN]|scanning|scan|0-0|0.5|Equivalence
[JJ]|awareness-raising|awareness|0-0|0.5294117647058824|Equivalence
[NN]|awareness-raising|awareness|0-0|0.5294117647058824|Equivalence
[VBD]|awareness-raising|awareness|0-0|0.5294117647058824|Equivalence
[NN]|user-friendliness|usability|0-0|0.5294117647058824|Equivalence
[VBN]|characteristics|featured|0-0|0.5333333333333333|Equivalence
[VBZ]|characteristics|features|0-0|0.5333333333333333|Equivalence
[NN]|humanitarianism|humanism|0-0|0.5333333333333333|Equivalence
[NN]|investigation|inquiry|0-0|0.5384615384615384|Equivalence
[VBG]|discontinuing|ceasing|0-0|0.5384615384615384|Equivalence
[JJ]|instantaneous|instant|0-0|0.5384615384615384|Equivalence
[NNS]|modifications|changes|0-0|0.5384615384615384|Equivalence
[NNPS]|notifications|notices|0-0|0.5384615384615384|Equivalence
[JJ]|anti-american|anti-us|0-0|0.5384615384615384|Equivalence
[JJ]|sino-american|sino-us|0-0|0.5384615384615384|Equivalence
[NNS]|refrigerators|fridges|0-0|0.5384615384615384|Equivalence
[RB]|expeditiously|rapidly|0-0|0.5384615384615384|Equivalence
[NNPS]|modifications|changes|0-0|0.5384615384615384|Equivalence
[JJ]|non-petroleum|non-oil|0-0|0.5384615384615384|Equivalence
[NN]|synchronizing|syncing|0-0|0.5384615384615384|Equivalence
[VBG]|investigation|probing|0-0|0.5384615384615384|Equivalence
[NN]|reunification|reunion|0-0|0.5384615384615384|Equivalence
[RB]|expeditiously|swiftly|0-0|0.5384615384615384|Equivalence
[VBN]|reinvigorated|revived|0-0|0.5384615384615384|Equivalence
[NN]|instantaneous|instant|0-0|0.5384615384615384|Equivalence
[NNS]|t-lymphocytes|t-cells|0-0|0.5384615384615384|Equivalence
[JJ]|centuries-old|age-old|0-0|0.5384615384615384|Equivalence
[RB]|significantly|greatly|0-0|0.5384615384615384|Equivalence
[NNS]|notifications|notices|0-0|0.5384615384615384|Equivalence
[NNS]|conversations|talking|0-0|0.5384615384615384|Equivalence
[RB]|conspicuously|visibly|0-0|0.5384615384615384|Equivalence
[VBN]|reconstructed|rebuilt|0-0|0.5384615384615384|Equivalence
[UH]|modifications|changes|0-0|0.5384615384615384|Equivalence
[NN]|biotechnology|biotech|0-0|0.5384615384615384|Equivalence
[RB]|approximately|roughly|0-0|0.5384615384615384|Equivalence
[RB]|substantially|greatly|0-0|0.5384615384615384|Equivalence
[JJ]|innumerable|myriad|0-0|0.5454545454545454|Equivalence
[NN]|selfishness|egoism|0-0|0.5454545454545454|Equivalence
[JJ]|inequitable|unfair|0-0|0.5454545454545454|Equivalence
[VBN]|safeguarded|upheld|0-0|0.5454545454545454|Equivalence
[RB]|excessively|unduly|0-0|0.5454545454545454|Equivalence
[VBZ]|accelerates|speeds|0-0|0.5454545454545454|Equivalence
