[NN] ||| transplant ||| transplantation ||| 0-0 ||| 0.6666666666666666 ||| OtherRelated
[JJ] ||| high-tech ||| high-technology ||| 0-0 ||| 0.6 ||| OtherRelated
[NN] ||| communication ||| communications ||| 0-0 ||| 0.9285714285714286 ||| OtherRelated
[JJ] ||| judeo-christian ||| judaeo-christian ||| 0-0 ||| 0.9375 ||| Equivalence
[JJ] ||| israel-palestine ||| israeli-palestinian ||| 0-0 ||| 0.8421052631578947 ||| Equivalence
[NN] ||| jewelry ||| jewellery ||| 0-0 ||| 0.7777777777777778 ||| Equivalence
[JJ] ||| austro-hungarian ||| austrian-hungarian ||| 0-0 ||| 0.8888888888888888 ||| Equivalence
[JJ] ||| logistic ||| logistical ||| 0-0 ||| 0.8 ||| Equivalence
[JJ] ||| non-government ||| non-governmental ||| 0-0 ||| 0.875 ||| Equivalence
[JJ] ||| homogenous ||| homogeneous ||| 0-0 ||| 0.9090909090909091 ||| Equivalence
[JJ] ||| low-income ||| lower-income ||| 0-0 ||| 0.8333333333333334 ||| Equivalence
[JJ] ||| muslim ||| muslims ||| 0-0 ||| 0.8571428571428571 ||| Equivalence
[NN] ||| mankind ||| humankind ||| 0-0 ||| 0.7777777777777778 ||| Equivalence
[NN] ||| self-governance ||| self-government ||| 0-0 ||| 1.0 ||| Equivalence
[NN] ||| liberalisation ||| liberalization ||| 0-0 ||| 1.0 ||| Equivalence
[RB] ||| conflict ||| conflicts ||| 0-0 ||| 0.8888888888888888 ||| OtherRelated
[RB] ||| conflict ||| conflicts ||| 0-0 ||| 0.8888888888888888 ||| OtherRelated
[NN] ||| democratisation ||| democratization ||| 0-0 ||| 1.0 ||| Equivalence
[NNS] ||| tests ||| tested ||| 0-0 ||| 0.8333333333333334 ||| OtherRelated
[VBD] ||| accepted ||| acceptance ||| 0-0 ||| 0.8 ||| ForwardEntailment
[NNS] ||| guarantees ||| guaranteed ||| 0-0 ||| 1.0 ||| Equivalence
[JJ] ||| centralised ||| centralized ||| 0-0 ||| 1.0 ||| Equivalence
[JJ] ||| interdisciplinary ||| cross-disciplinary ||| 0-0 ||| 0.9444444444444444 ||| Equivalence
[NNS] ||| billions ||| trillions ||| 0-0 ||| 0.8888888888888888 ||| Equivalence
[NNS] ||| billions ||| trillions ||| 0-0 ||| 0.8888888888888888 ||| Equivalence
[NN] ||| phosphorus ||| phosphorous ||| 0-0 ||| 0.9090909090909091 ||| Equivalence
[CD] ||| billion ||| millions ||| 0-0 ||| 0.875 ||| Equivalence
[CD] ||| million ||| billions ||| 0-0 ||| 0.875 ||| Equivalence
[CD] ||| billion ||| million ||| 0-0 ||| 1.0 ||| Equivalence
[JJ] ||| austro-hungarian ||| austrian-hungarian ||| 0-0 ||| 0.8888888888888888 ||| Equivalence
[NNS] ||| millions ||| thousands ||| 0-0 ||| 0.8888888888888888 ||| Independent
[NNS] ||| millions ||| thousands ||| 0-0 ||| 0.8888888888888888 ||| Independent
[NNS] ||| millions ||| thousand ||| 0-0 ||| 1.0 ||| Independent
[NNS] ||| thousand ||| millions ||| 0-0 ||| 1.0 ||| Independent
[VBD] ||| retired ||| retirement ||| 0-0 ||| 0.7 ||| OtherRelated
[NNS] ||| handles ||| handled ||| 0-0 ||| 1.0 ||| Equivalence
[NNS] ||| suspects ||| suspected ||| 0-0 ||| 0.8888888888888888 ||| OtherRelated
[JJ] ||| inapplicable ||| unenforceable ||| 0-0 ||| 0.9230769230769231 ||| OtherRelated
[JJ] ||| north-west ||| north-western ||| 0-0 ||| 0.7692307692307693 ||| Equivalence
[JJ] ||| full-size ||| full-sized ||| 0-0 ||| 0.9 ||| OtherRelated
[NN] ||| launch ||| launching ||| 0-0 ||| 0.6666666666666666 ||| Equivalence
[JJ] ||| pluralist ||| pluralistic ||| 0-0 ||| 0.8181818181818182 ||| Equivalence
[NN] ||| mistreatment ||| ill-treatment ||| 0-0 ||| 0.9230769230769231 ||| Equivalence
[NNS] ||| bans ||| banning ||| 0-0 ||| 0.5714285714285714 ||| Equivalence
[JJ] ||| organized ||| organised ||| 0-0 ||| 1.0 ||| Equivalence
[NNS] ||| crops ||| cropping ||| 0-0 ||| 0.625 ||| ForwardEntailment
[JJ] ||| three-wheel ||| three-wheeled ||| 0-0 ||| 0.8461538461538461 ||| Equivalence
[JJ] ||| increased ||| increasing ||| 0-0 ||| 0.9 ||| OtherRelated
[RB] ||| close ||| closely ||| 0-0 ||| 0.7142857142857143 ||| Independent
[UH] ||| shirts ||| t-shirts ||| 0-0 ||| 0.75 ||| ForwardEntailment
[NNS] ||| begins ||| beginnings ||| 0-0 ||| 0.6 ||| ReverseEntailment
[JJ] ||| judeo-christian ||| judaeo-christian ||| 0-0 ||| 0.9375 ||| Equivalence
[JJ] ||| geographic ||| geographical ||| 0-0 ||| 0.8333333333333334 ||| Equivalence
[JJ] ||| vice-chair ||| vice-chairman ||| 0-0 ||| 0.7692307692307693 ||| OtherRelated
[NN] ||| jewelry ||| jewellery ||| 0-0 ||| 0.7777777777777778 ||| Equivalence
[JJ] ||| marginalized ||| marginalised ||| 0-0 ||| 1.0 ||| Equivalence
[JJ] ||| homogenous ||| homogeneous ||| 0-0 ||| 0.9090909090909091 ||| Equivalence
[JJ] ||| ever-growing ||| ever-increasing ||| 0-0 ||| 0.8 ||| Equivalence
[JJ] ||| politico-military ||| political-military ||| 0-0 ||| 0.9444444444444444 ||| Equivalence
[JJ] ||| industrialised ||| industrialized ||| 0-0 ||| 1.0 ||| Equivalence
[NN] ||| anesthesia ||| anaesthesia ||| 0-0 ||| 0.9090909090909091 ||| Equivalence
[NN] ||| liberalization ||| liberalisation ||| 0-0 ||| 1.0 ||| Equivalence
[JJ] ||| rule-based ||| rules-based ||| 0-0 ||| 0.9090909090909091 ||| Equivalence
[NNS] ||| offers ||| offerings ||| 0-0 ||| 0.6666666666666666 ||| ForwardEntailment
[JJ] ||| fibre-optic ||| fiber-optic ||| 0-0 ||| 1.0 ||| Equivalence
[JJ] ||| non-government ||| nongovernmental ||| 0-0 ||| 0.9333333333333333 ||| Equivalence
[NNS] ||| bans ||| banning ||| 0-0 ||| 0.5714285714285714 ||| Equivalence
[JJ] ||| privatised ||| privatized ||| 0-0 ||| 1.0 ||| Equivalence
[JJ] ||| co-chair ||| co-chairman ||| 0-0 ||| 0.7272727272727273 ||| Equivalence
[JJ] ||| south-west ||| south-western ||| 0-0 ||| 0.7692307692307693 ||| Equivalence
[NNS] ||| fights ||| fighting ||| 0-0 ||| 0.75 ||| Equivalence
[NNS] ||| fights ||| fightings ||| 0-0 ||| 0.6666666666666666 ||| Equivalence
[NNS] ||| fight ||| fightings ||| 0-0 ||| 0.5555555555555556 ||| Equivalence
[JJ] ||| north ||| northern ||| 0-0 ||| 0.625 ||| Equivalence
[JJ] ||| civilised ||| civilized ||| 0-0 ||| 1.0 ||| Equivalence
[CD] ||| billion ||| millions ||| 0-0 ||| 0.875 ||| Equivalence
[CD] ||| million ||| billions ||| 0-0 ||| 0.875 ||| Equivalence
[CD] ||| million ||| billion ||| 0-0 ||| 1.0 ||| Equivalence
[NNS] ||| crops ||| cropping ||| 0-0 ||| 0.625 ||| ReverseEntailment
[NN] ||| partition ||| partitioning ||| 0-0 ||| 0.75 ||| Equivalence
[RB] ||| financially ||| economically ||| 0-0 ||| 0.9166666666666666 ||| OtherRelated
[NN] ||| colonisation ||| colonization ||| 0-0 ||| 1.0 ||| Equivalence
[JJ] ||| rule-based ||| rules-based ||| 0-0 ||| 0.9090909090909091 ||| Equivalence
[CD] ||| 70s ||| seventy ||| 0-0 ||| 0.42857142857142855 ||| Equivalence
[CD] ||| 70 ||| seventy ||| 0-0 ||| 0.2857142857142857 ||| Equivalence
[JJ] ||| civil-military ||| civilian-military ||| 0-0 ||| 0.8235294117647058 ||| Equivalence
[NNS] ||| reviews ||| reviewed ||| 0-0 ||| 0.875 ||| Equivalence
[NN] ||| judgment ||| judgement ||| 0-0 ||| 0.8888888888888888 ||| Equivalence
[NN] ||| standardisation ||| standardization ||| 0-0 ||| 1.0 ||| Equivalence
[JJ] ||| civil-military ||| civilian-military ||| 0-0 ||| 0.8235294117647058 ||| Equivalence
[JJ] ||| belarusian ||| belarussian ||| 0-0 ||| 0.9090909090909091 ||| Equivalence
[VB] ||| harmonize ||| harmonise ||| 0-0 ||| 1.0 ||| Equivalence
[VB] ||| harmonise ||| harmonized ||| 0-0 ||| 0.9 ||| Equivalence
[NN] ||| audits ||| auditing ||| 0-0 ||| 0.75 ||| Equivalence
[NN] ||| audit ||| auditing ||| 0-0 ||| 0.625 ||| Equivalence
[VBZ] ||| consulting ||| consultations ||| 0-0 ||| 0.7692307692307693 ||| OtherRelated
[VBZ] ||| consults ||| consultations ||| 0-0 ||| 0.6153846153846154 ||| OtherRelated
[JJ] ||| politico-military ||| political-military ||| 0-0 ||| 0.9444444444444444 ||| Equivalence
[NN] ||| decentralization ||| decentralisation ||| 0-0 ||| 1.0 ||| Equivalence
[RB] ||| resource ||| resources ||| 0-0 ||| 0.8888888888888888 ||| Equivalence
[RB] ||| forward ||| forwards ||| 0-0 ||| 0.875 ||| Equivalence
[JJ] ||| cost-efficient ||| cost-effective ||| 0-0 ||| 1.0 ||| Equivalence
[NNS] ||| not ||| nos ||| 0-0 ||| 1.0 ||| Independent
[NNS] ||| not ||| noes ||| 0-0 ||| 0.75 ||| Independent
[VBG] ||| adjusting ||| adjustment ||| 0-0 ||| 0.9 ||| OtherRelated
[RB] ||| deliberately ||| intentionally ||| 0-0 ||| 0.9230769230769231 ||| Equivalence
[JJ] ||| organised ||| organized ||| 0-0 ||| 1.0 ||| Equivalence
[JJ] ||| one-stop ||| one-stop-shop ||| 0-0 ||| 0.6153846153846154 ||| OtherRelated
[JJ] ||| environment-friendly ||| environmentally-friendly ||| 0-0 ||| 0.8333333333333334 ||| Equivalence
[JJ] ||| anti-us ||| anti-american ||| 0-0 ||| 0.5384615384615384 ||| Equivalence
[NN] ||| specialisation ||| specialization ||| 0-0 ||| 1.0 ||| Equivalence
[JJ] ||| civilized ||| civilised ||| 0-0 ||| 1.0 ||| Equivalence
[VBZ] ||| limits ||| limitations ||| 0-0 ||| 0.5454545454545454 ||| ReverseEntailment
[VBZ] ||| limites ||| limitations ||| 0-0 ||| 0.6363636363636364 ||| ReverseEntailment
[NN] ||| nationalisation ||| nationalization ||| 0-0 ||| 1.0 ||| Equivalence
[JJ] ||| center-left ||| centre-left ||| 0-0 ||| 1.0 ||| Equivalence
[UH] ||| notes ||| footnotes ||| 0-0 ||| 0.5555555555555556 ||| OtherRelated
[JJ] ||| centre-left ||| center-left ||| 0-0 ||| 1.0 ||| Equivalence
[NN] ||| mistreatment ||| ill-treatment ||| 0-0 ||| 0.9230769230769231 ||| Equivalence
[JJ] ||| topographic ||| topographical ||| 0-0 ||| 0.8461538461538461 ||| Equivalence
[VBZ] ||| phones ||| telephones ||| 0-0 ||| 0.6 ||| Equivalence
[JJ] ||| vice-chair ||| vice-chairman ||| 0-0 ||| 0.7692307692307693 ||| OtherRelated
[JJ] ||| archeological ||| archaeological ||| 0-0 ||| 0.9285714285714286 ||| Equivalence
[VBZ] ||| consulting ||| consultation ||| 0-0 ||| 0.8333333333333334 ||| OtherRelated
[VBZ] ||| consults ||| consultation ||| 0-0 ||| 0.6666666666666666 ||| OtherRelated
[NN] ||| polarisation ||| polarization ||| 0-0 ||| 1.0 ||| Equivalence
[JJ] ||| medieval ||| mediaeval ||| 0-0 ||| 0.8888888888888888 ||| Equivalence
[NN] ||| aging ||| ageing ||| 0-0 ||| 0.8333333333333334 ||| Equivalence
[NN] ||| diarrhea ||| diarrhoea ||| 0-0 ||| 0.8888888888888888 ||| Equivalence
[NNS] ||| tests ||| tested ||| 0-0 ||| 0.8333333333333334 ||| OtherRelated
[VBN] ||| accepted ||| acceptance ||| 0-0 ||| 0.8 ||| ForwardEntailment
[NN] ||| maltreatment ||| ill-treatment ||| 0-0 ||| 0.9230769230769231 ||| Equivalence
[JJ] ||| aging ||| ageing ||| 0-0 ||| 0.8333333333333334 ||| Equivalence
[NN] ||| counseling ||| counselling ||| 0-0 ||| 0.9090909090909091 ||| Equivalence
[VB] ||| violate ||| contravened ||| 0-0 ||| 0.6363636363636364 ||| Equivalence
[VB] ||| violate ||| contravene ||| 0-0 ||| 0.7 ||| Equivalence
[VBP] ||| fulfil ||| fulfill ||| 0-0 ||| 0.8571428571428571 ||| Equivalence
[UH] ||| notes ||| footnotes ||| 0-0 ||| 0.5555555555555556 ||| OtherRelated
[VB] ||| maltreatment ||| ill-treatment ||| 0-0 ||| 0.9230769230769231 ||| Equivalence
[NNS] ||| billions ||| thousands ||| 0-0 ||| 0.8888888888888888 ||| Independent
[NNS] ||| billions ||| thousands ||| 0-0 ||| 0.8888888888888888 ||| Independent
[NNS] ||| thousand ||| billions ||| 0-0 ||| 1.0 ||| Independent
[NNS] ||| billions ||| thousand ||| 0-0 ||| 1.0 ||| Independent
[NNS] ||| launch ||| launchings ||| 0-0 ||| 0.6 ||| Equivalence
[NNS] ||| launches ||| launchings ||| 0-0 ||| 0.8 ||| Equivalence
[JJ] ||| north ||| northern ||| 0-0 ||| 0.625 ||| Equivalence
[NN] ||| diarrhea ||| diarrhoea ||| 0-0 ||| 0.8888888888888888 ||| Equivalence
[JJ] ||| two-edged ||| double-edged ||| 0-0 ||| 0.75 ||| Equivalence
[JJ] ||| eco-friendly ||| environmentally-friendly ||| 0-0 ||| 0.5 ||| Equivalence
[VBZ] ||| phones ||| telephones ||| 0-0 ||| 0.6 ||| Equivalence
[NN] ||| modernization ||| modernisation ||| 0-0 ||| 1.0 ||| Equivalence
[NNS] ||| targets ||| targeting ||| 0-0 ||| 0.7777777777777778 ||| Equivalence
[VBD] ||| incited ||| incitement ||| 0-0 ||| 0.7 ||| OtherRelated
[NN] ||| privatisation ||| privatization ||| 0-0 ||| 1.0 ||| Equivalence
[JJ] ||| aforementioned ||| above-mentioned ||| 0-0 ||| 0.9333333333333333 ||| Equivalence
[RB] ||| proportionally ||| proportionately ||| 0-0 ||| 0.9333333333333333 ||| Equivalence
